24/08/2014 00:00:01

Title: gh2
TrendLog: c:\cmdstn\trendlog\gh2\gh2_1.tlg
Data File: c:\cmdstn\trendlog\gh2\gh2_1.tdt

"Date Time","50-AI-102 ppm","50-AI-103 °C","","","","","","","","","","","","","","","","","","",
"04/08/2014 09:09","549.0","23.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 09:24","549.0","23.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 09:39","549.0","22.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 09:54","549.0","22.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 10:09","564.5","23.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 10:24","564.5","23.5","","","","","","","","","","","","","","","","","","",
"04/08/2014 10:39","564.5","23.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 10:54","564.5","23.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 11:09","556.5","23.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 11:24","556.5","24.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 11:39","549.0","24.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 11:54","549.0","23.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 12:09","533.0","25.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 12:24","533.0","25.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 12:39","533.0","25.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 12:54","556.5","25.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 13:09","556.5","26.0","","","","","","","","","","","","","","","","","","",
"04/08/2014 13:24","556.5","25.0","","","","","","","","","","","","","","","","","","",
"04/08/2014 13:39","556.5","26.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 13:54","556.5","24.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 14:09","556.5","25.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 14:24","549.0","25.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 14:39","556.5","24.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 14:54","556.5","24.5","","","","","","","","","","","","","","","","","","",
"04/08/2014 15:09","564.5","24.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 15:24","556.5","23.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 15:39","549.0","23.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 15:54","533.0","22.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 16:09","541.0","22.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 16:24","541.0","22.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 16:39","541.0","22.1","","","","","","","","","","","","","","","","","","",
"04/08/2014 16:54","549.0","22.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 17:09","533.0","22.9","","","","","","","","","","","","","","","","","","",
"04/08/2014 17:24","533.0","22.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 17:39","533.0","21.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 17:54","533.0","21.3","","","","","","","","","","","","","","","","","","",
"04/08/2014 18:09","533.0","21.5","","","","","","","","","","","","","","","","","","",
"04/08/2014 18:24","549.0","21.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 18:39","462.5","21.7","","","","","","","","","","","","","","","","","","",
"04/08/2014 18:54","407.5","16.8","","","","","","","","","","","","","","","","","","",
"04/08/2014 19:09","415.5","16.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 19:24","439.0","16.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 19:39","431.0","16.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 19:54","423.5","16.6","","","","","","","","","","","","","","","","","","",
"04/08/2014 20:09","415.5","16.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 20:24","407.5","16.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 20:39","400.0","16.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 20:54","400.0","16.0","","","","","","","","","","","","","","","","","","",
"04/08/2014 21:09","392.0","16.2","","","","","","","","","","","","","","","","","","",
"04/08/2014 21:24","384.0","16.0","","","","","","","","","","","","","","","","","","",
"04/08/2014 21:39","392.0","15.8","","","","","","","","","","","","","","","","","","",
"04/08/2014 21:54","392.0","15.8","","","","","","","","","","","","","","","","","","",
"04/08/2014 22:09","392.0","15.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 22:24","392.0","15.4","","","","","","","","","","","","","","","","","","",
"04/08/2014 22:39","400.0","15.2","","","","","","","","","","","","","","","","","","",
