plant,species,PAM,time,treatment,CO2
A5,acacia,0.934,mid,recovery,1
A6,acacia,0.791,mid,control,1
A7,acacia,0.837,mid,control,1
A8,acacia,0.858,mid,recovery,1
A9,acacia,0.789,mid,flooded,1
A10,acacia,0.833,mid,control,1
A11,acacia,0.792,mid,flooded,1
A12,acacia,0.817,mid,flooded,1
A13,acacia,0.861,mid,flooded,0
A14,acacia,0.835,mid,flooded,0
A15,acacia,0.834,mid,control,0
A16,acacia,0.808,mid,recovery,0
A17,acacia,0.845,mid,recovery,0
A18,acacia,NA,mid,recovery,0
A19,acacia,0.847,mid,flooded,0
A20,acacia,0.809,mid,flooded,0
A21,acacia,0.835,mid,control,0
A22,acacia,0.797,mid,control,0
A23,acacia,0.852,mid,recovery,0
A24,acacia,0.859,mid,flooded,0
A25,acacia,0.825,mid,recovery,1
A26,acacia,0.859,mid,control,1
A27,acacia,0.803,mid,flooded,1
A28,acacia,0.878,mid,recovery,1
A29,acacia,0.812,mid,control,1
A30,acacia,0.857,mid,control,1
A31,acacia,0.809,mid,recovery,1
A32,acacia,0.836,mid,flooded,1
A33,acacia,0.856,mid,control,1
A34,acacia,0.920,mid,flooded,1
A35,acacia,0.899,mid,recovery,1
A36,acacia,0.889,mid,flooded,1
A37,acacia,0.804,mid,control,0
A38,acacia,0.883,mid,flooded,0
A39,acacia,0.838,mid,control,0
A40,acacia,0.851,mid,recovery,0
A41,acacia,0.906,mid,recovery,0
A42,acacia,0.862,mid,flooded,0
A43,acacia,0.829,mid,flooded,0
A44,acacia,0.834,mid,control,0
A45,acacia,0.861,mid,recovery,0
A46,acacia,0.870,mid,recovery,0
A47,acacia,0.875,mid,control,0
A48,acacia,0.824,mid,flooded,0
C1,cas,0.794,mid,control,1
C2,cas,0.787,mid,recovery,1
C3,cas,0.809,mid,flooded,1
C4,cas,0.791,mid,control,1
C5,cas,0.702,mid,flooded,1
C6,cas,0.744,mid,recovery,1
C7,cas,0.831,mid,flooded,1
C8,cas,0.833,mid,control,1
C9,cas,0.791,mid,control,1
C10,cas,0.700,mid,recovery,1
C11,cas,0.754,mid,recovery,1
C12,cas,0.804,mid,flooded,1
C13,cas,0.917,mid,recovery,0
C14,cas,0.844,mid,control,0
C15,cas,0.800,mid,recovery,0
C16,cas,0.817,mid,control,0
C17,cas,0.892,mid,recovery,0
C18,cas,0.928,mid,recovery,0
C19,cas,0.853,mid,flooded,0
C20,cas,0.789,mid,control,0
C21,cas,0.760,mid,flooded,0
C22,cas,0.891,mid,flooded,0
C23,cas,0.866,mid,flooded,0
C24,cas,0.930,mid,flooded,0
C25,cas,0.820,mid,control,1
C26,cas,0.796,mid,recovery,1
C27,cas,0.754,mid,flooded,1
C28,cas,0.902,mid,recovery,1
C29,cas,0.864,mid,recovery,1
C30,cas,NA,mid,flooded,1
C31,cas,0.817,mid,control,1
C32,cas,0.845,mid,flooded,1
C33,cas,0.761,mid,recovery,1
C34,cas,0.799,mid,flooded,1
C35,cas,0.796,mid,control,1
C36,cas,0.819,mid,flooded,1
C37,cas,0.842,mid,control,0
C38,cas,0.841,mid,flooded,0
C39,cas,0.840,mid,flooded,0
C40,cas,0.982,mid,flooded,0
C41,cas,0.824,mid,control,0
C42,cas,0.885,mid,control,0
C43,cas,0.794,mid,recovery,0
C44,cas,0.924,mid,recovery,0
C45,cas,0.799,mid,flooded,0
C46,cas,0.843,mid,recovery,0
C47,cas,0.853,mid,control,0
C48,cas,0.792,mid,recovery,0
E1,euc,0.794,mid,flooded,1
E2,euc,0.844,mid,control,1
E3,euc,0.805,mid,control,1
E4,euc,0.887,mid,recovery,1
E5,euc,0.829,mid,control,1
E6,euc,0.789,mid,flooded,1
E7,euc,0.793,mid,recovery,1
E8,euc,0.856,mid,recovery,1
E9,euc,0.825,mid,recovery,1
E10,euc,0.900,mid,flooded,1
E11,euc,0.879,mid,flooded,1
E12,euc,0.881,mid,flooded,1
E13,euc,0.847,mid,recovery,0
E14,euc,0.846,mid,flooded,0
E15,euc,0.825,mid,flooded,0
E16,euc,0.850,mid,control,0
E17,euc,0.867,mid,control,0
E18,euc,0.829,mid,recovery,0
E19,euc,0.818,mid,recovery,0
E20,euc,0.857,mid,control,0
E21,euc,0.821,mid,recovery,0
E22,euc,0.905,mid,flooded,0
E23,euc,0.978,mid,flooded,0
E24,euc,0.733,mid,control,0
E25,euc,0.830,mid,recovery,1
E26,euc,0.826,mid,flooded,1
E27,euc,0.803,mid,flooded,1
E28,euc,0.841,mid,flooded,1
E29,euc,0.817,mid,recovery,1
E30,euc,0.789,mid,recovery,1
E31,euc,0.813,mid,flooded,1
E32,euc,0.811,mid,flooded,1
E33,euc,0.844,mid,control,1
E34,euc,0.815,mid,control,1
E35,euc,0.881,mid,recovery,1
E36,euc,0.840,mid,control,1
E37,euc,0.853,mid,flooded,0
E38,euc,0.858,mid,control,0
E39,euc,0.810,mid,control,0
E40,euc,0.863,mid,flooded,0
E41,euc,0.833,mid,recovery,0
E42,euc,0.822,mid,recovery,0
E43,euc,0.832,mid,flooded,0
E44,euc,0.863,mid,control,0
E45,euc,0.846,mid,flooded,0
E46,euc,0.921,mid,recovery,0
E47,euc,0.814,mid,flooded,0
E48,euc,0.918,mid,recovery,0
A1,acacia,0.717,end,recovery,1
A2,acacia,0.848,end,control,1
A3,acacia,0.860,end,flooded,1
A4,acacia,0.743,end,recovery,1
A5,acacia,0.780,end,recovery,1
A6,acacia,0.863,end,control,1
A7,acacia,0.875,end,control,1
A8,acacia,0.769,end,recovery,1
A9,acacia,0.831,end,flooded,1
A10,acacia,0.770,end,control,1
A11,acacia,0.806,end,flooded,1
A12,acacia,0.751,end,flooded,1
A13,acacia,0.763,end,flooded,0
A14,acacia,0.710,end,flooded,0
A15,acacia,0.873,end,control,0
A16,acacia,0.781,end,recovery,0
A17,acacia,0.893,end,recovery,0
A18,acacia,NA,end,recovery,0
A19,acacia,0.835,end,flooded,0
A20,acacia,0.895,end,flooded,0
A21,acacia,0.831,end,control,0
A22,acacia,0.838,end,control,0
A23,acacia,0.923,end,recovery,0
A24,acacia,0.819,end,flooded,0
A25,acacia,0.856,end,recovery,1
A26,acacia,0.872,end,control,1
A27,acacia,0.940,end,flooded,1
A28,acacia,0.971,end,recovery,1
A29,acacia,0.824,end,control,1
A30,acacia,0.782,end,control,1
A31,acacia,0.898,end,recovery,1
A32,acacia,0.953,end,flooded,1
A33,acacia,0.894,end,control,1
A34,acacia,0.862,end,flooded,1
A35,acacia,0.977,end,recovery,1
A36,acacia,0.807,end,flooded,1
A37,acacia,0.856,end,control,0
A38,acacia,0.897,end,flooded,0
A39,acacia,0.807,end,control,0
A40,acacia,0.875,end,recovery,0
A41,acacia,0.896,end,recovery,0
A42,acacia,0.857,end,flooded,0
A43,acacia,0.805,end,flooded,0
A44,acacia,NA,end,control,0
A45,acacia,0.929,end,recovery,0
A46,acacia,0.890,end,recovery,0
A47,acacia,0.926,end,control,0
A48,acacia,0.848,end,flooded,0
C1,cas,0.793,end,control,1
C2,cas,0.735,end,recovery,1
C3,cas,0.709,end,flooded,1
C4,cas,0.859,end,control,1
C5,cas,0.791,end,flooded,1
C6,cas,0.757,end,recovery,1
C7,cas,0.726,end,flooded,1
C8,cas,0.831,end,control,1
C9,cas,0.796,end,control,1
C10,cas,0.771,end,recovery,1
C11,cas,0.773,end,recovery,1
C12,cas,0.800,end,flooded,1
C13,cas,0.786,end,recovery,0
C14,cas,0.826,end,control,0
C15,cas,0.884,end,recovery,0
C16,cas,0.865,end,control,0
C17,cas,0.794,end,recovery,0
C18,cas,0.966,end,recovery,0
C19,cas,0.807,end,flooded,0
C20,cas,0.965,end,control,0
C21,cas,0.807,end,flooded,0
C22,cas,0.842,end,flooded,0
C23,cas,0.888,end,flooded,0
C24,cas,0.902,end,flooded,0
C25,cas,0.789,end,control,1
C26,cas,0.798,end,recovery,1
C27,cas,0.653,end,flooded,1
C28,cas,0.699,end,recovery,1
C29,cas,0.832,end,recovery,1
C30,cas,NA,end,flooded,1
C31,cas,0.817,end,control,1
C32,cas,0.738,end,flooded,1
C33,cas,0.879,end,recovery,1
C34,cas,0.799,end,flooded,1
C35,cas,0.763,end,control,1
C36,cas,0.868,end,flooded,1
C37,cas,0.905,end,control,0
C38,cas,0.748,end,flooded,0
C39,cas,0.801,end,flooded,0
C40,cas,0.797,end,flooded,0
C41,cas,0.794,end,control,0
C42,cas,0.903,end,control,0
C43,cas,0.901,end,recovery,0
C44,cas,0.857,end,recovery,0
