"","plant","species","treatment","CO2","photo","cond","ci","time","shootLength","dryRootBiomass","dryShootBiomass","RMF","SLA","LDMC","fineRootDMC","rootFineProportion"
"40","C40","cas","flooded","A",34.33798525,0.718967619,289.4412961,"end",NA,0.956,3.063,0.237870117,20.19836957,0.277173913,0.164550265,0.325313808
"41","C41","cas","control","A",23.1618874,0.586936665,309.2323798,"recovered",70.5,6.333,11.299,0.359176497,15.87600153,0.306753148,0.188412306,0.264961314
"42","C42","cas","control","A",19.96482234,0.412263332,294.5729152,"recovered",89,11.146,16.442,0.404016239,21.75761589,0.392715232,0.182487725,0.340122017
"43","C44","cas","recovery","A",26.91813075,0.491186072,285.3385905,"recovered",77,5.886,11.863,0.331624317,17.23988439,0.349710983,0.155741559,0.281345566
"44","C48","cas","recovery","A",26.8882435,0.562064895,296.5721733,"recovered",79.5,3.752,8.122,0.315984504,19.39976345,0.398580721,0.153192553,0.326759062
"45","C7","cas","flooded","E",36.57961065,0.651859852,418.0823571,"end",57.5,0.992,3.672,0.212692967,23.91223733,0.333745365,0.179467085,0.230846774
"46","C8","cas","control","E",31.14544251,0.536344833,415.9511615,"recovered",103.5,15.09,22.786,0.398405323,18.12755599,0.309152872,0.260260701,0.391650099
"47","C9","cas","control","E",34.48692223,0.585367459,413.4688593,"recovered",93.5,10.432,18.006,0.366833111,19.15921963,0.337319069,0.252673606,0.50958589
"48","E12","euc","flooded","E",25.82112443,0.459859545,393.2037858,"end",26.5,2.683,4.169,0.391564507,33.08836944,0.375142531,0.153980244,0.098770034
"49","E13","euc","recovery","A",23.3674271,0.703010811,293.4788321,"recovered",67.5,13.4358,10.399,0.563705171,27.00913082,0.376470588,0.048108632,0.011074889
"50","E19","euc","recovery","A",14.14895265,0.300450858,283.8641625,"recovered",77,19.3262,37.96,0.337362227,27.52131195,0.394307181,0.168170534,0.161231903
"51","E2","euc","control","E",14.09601086,0.305087354,425.3710072,"recovered",79.5,14.543,28.09,0.341120728,27.96329114,0.434637514,0.194864464,0.243691123
"52","E20","euc","control","A",1.416279362,0.020753285,264.9537219,"recovered",55,14.194,17.328,0.450288687,27.13244391,0.35839903,0.261544012,0.10215584
"53","E22","euc","flooded","A",17.24921378,0.400079364,284.2858371,"end",76.5,8.622,23.302,0.270078937,32.89434678,0.389693209,0.262701661,0.253073533
"54","E23","euc","flooded","A",14.8581686,0.359285099,293.385127,"end",68,7.541,25.29,0.22969145,30.63583535,0.432445521,0.094237795,0.301021085
"55","E24","euc","control","A",12.0129287,0.182210792,255.2181651,"recovered",76,19.226,26.648,0.419104504,27.20198675,0.433112583,0.222162308,0.085717258
"56","E25","euc","recovery","E",24.96757915,0.335130169,364.9125823,"recovered",63,18.211,22.683,0.445322052,27.65087197,0.433602722,0.343435317,0.391411784
"57","E26","euc","flooded","E",14.50660125,0.25367579,407.1965965,"end",82.5,5.331,19.69,0.213061029,32.30160197,0.395769152,0.165126794,0.315137873
"58","E28","euc","flooded","E",15.70945922,0.153215314,332.6954199,"end",44.1,3.924,12.928,0.2328507,27.43107196,0.415055486,0.180683919,0.298929664
"59","E30","euc","recovery","E",21.66524876,0.467120332,414.4561274,"recovered",93,10.486,21.306,0.329831404,27.8490539,0.431622706,0.195718232,0.270265115
"60","E33","euc","control","E",17.81501933,0.141192097,293.7922305,"recovered",68.5,15.259,30.241,0.335362637,26.3670342,0.450850308,0.17493357,0.077659086
"61","E34","euc","control","E",18.28981402,0.162954574,314.7039516,"recovered",55.5,14.678,21.879,0.401509971,31.61063897,0.398069458,0.31173857,0.148180951
"62","E39","euc","control","A",14.88092014,0.213871988,244.5895548,"recovered",62,16.227,22.694,0.416921456,51.15728587,0.388876529,0.272091995,0.189560609
"63","E40","euc","flooded","A",15.95697489,0.328252757,276.3012705,"end",54.5,4.031,13.156,0.234537732,32.1470148,0.366372859,0.150705171,0.278342843
"64","E46","euc","recovery","A",16.91378799,0.529353667,304.6389464,"recovered",81.5,19.503,39.654,0.329682033,29.21498076,0.434713736,0.234788082,0.34425473
"65","E47","euc","flooded","A",13.76327187,0.194241158,244.335335,"end",57,3.134,11.066,0.220704225,29.4120556,0.356722801,0.146749123,0.280153159
"66","E48","euc","recovery","A",17.53087831,0.562482679,304.4277064,"recovered",62.8,12.382,26.522,0.318270615,26.34505022,0.401901004,0.247641759,0.377402681
"67","E5","euc","control","E",10.38098629,0.08011286,298.2586707,"recovered",63.5,19.161,25.868,0.425525772,26.54327563,0.413781625,0.261984197,0.0778665
"68","E6","euc","flooded","E",17.51169073,0.264880819,388.9991549,"end",66.4,7.012,21.402,0.246779756,38.79787077,0.453496969,0.128784586,0.253565317
"69","E7","euc","recovery","E",19.54109177,0.293548136,383.4163908,"recovered",83,17.553,32.44,0.351109155,28.08847515,0.407601169,0.224826675,0.310374295
"70","E8","euc","recovery","E",18.19744281,0.3206156,401.6082726,"recovered",14.62,13.372,26.517,0.335230264,28.86988848,0.40828099,0.228904947,0.307956925
