plant,treatment,CO2,species,rootLength,shootLength,rootDensity,rootDMC,freshCoarseRootMass,freshFineRootMass,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,stemDensity,stemDMC,SLA,LDMC,freshShootBiomass,dryShootBiomass,shootDMC
A30,control,E,acacia,71,41.5,0.335358445,0.342007435,12.768,16.227,2.911,2.185,0.227991855,0.134652123,0.476744186,0.430446194,31.5426787,0.338653713,38.58,12.644,0.327734578
A31,recovery,E,acacia,56,34,0.37413925,0.362222222,18.877,7.564,3.69,0.73,0.195475976,0.096509783,0.567032967,0.491897045,26.97347894,0.446957878,21.335,9.179,0.430232013
A32,flooded,E,acacia,67,29.5,0.339477727,0.320289855,9.336,6.477,2.029,0.885,0.217330763,0.136637332,0.514175258,0.459677419,26.05532787,0.43442623,23.106,9.524,0.412187311
A33,control,E,acacia,78,24.5,0.526283988,0.450129199,21.846,13.489,6.728,2.828,0.307974,0.209652309,0.5584,0.479725086,27.00195122,0.388292683,39.358,15.147,0.384851873
A34,flooded,E,acacia,68,56,0.299337748,0.302949062,8.479,3.983,1.821,0.764,0.214765892,0.191815215,0.605399792,0.416428571,20.60447761,0.39800995,17.985,6.319,0.351348346
A35,recovery,E,acacia,55,20,0.398273736,0.371264368,10.176,12.48,2.198,1.673,0.215998428,0.134054487,0.522627737,0.458974359,28.49635036,0.419708029,16.498,6.645,0.402776094
A36,flooded,E,acacia,49.5,24.8,NA,0.4125,1.422,1.271,0.313,0.15,0.220112518,0.118017309,NA,0.379310345,27.44540728,0.285961872,5.242,1.4,0.267073636
A37,control,A,acacia,78,37.5,0.306306306,0.307847082,14.707,7.499,2.662,0.804,0.181002244,0.107214295,0.400885936,0.385927505,26.09013283,0.25142315,27.381,7.497,0.273803002
A38,flooded,A,acacia,57,44,0.400343643,0.370429253,5.861,4.512,1.259,0.531,0.214809759,0.11768617,0.455852156,0.404371585,25.56083803,0.35455278,21.594,6.628,0.306937112
A39,control,A,acacia,83,60,0.403560831,0.376582278,25.737,26.848,4.432,5.226,0.172203443,0.194651371,0.506827309,0.448631354,26.92,0.448484848,48.564,3.519,0.072461082
A40,recovery,A,acacia,65,37,0.412765957,0.367772512,2.619,13.621,2.643,1.648,1.009163803,0.120989648,0.497321429,0.434138737,30.42038217,0.373673036,27.932,11.129,0.398431906
