plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
A11,2,waterlogged,E,acacia,0.877,0.094,0.242399116,0.119745223,28.60365854,0.293699187,2.112,0.298262957,0.971,0.010782895,0.000618421,0.005769737,0.006388158,0.314952968,0.209959887,3.083,0.096807415,0.389830508,0.429906542,0.414485166,0.37784522
A12,2,waterlogged,E,acacia,0.529,0.325,0.229103508,0.153591682,25.42764858,0.391472868,3.161,0.389333662,0.854,0.017322368,0.002138158,0.003480263,0.005618421,0.212702366,0.209399514,4.015,0.380562061,0.445544554,0.576923077,0.463314097,0.34375
A13,3,waterlogged,A,acacia,0.688,0.338,0.218204884,0.1623439,27.60969977,0.324095458,4.18,0.331430384,1.026,0.0225,0.002223684,0.004526316,0.00675,0.197080292,0.207136186,5.206,0.329434698,0.429113924,0.525581395,0.503337784,0.313901345
A14,3,waterlogged,A,acacia,0.446,0.921,0.10556213,0.345720721,26.8006795,0.392978482,6.965,0.380330912,1.367,0.040263158,0.006059211,0.002934211,0.008993421,0.164066251,0.177380198,8.332,0.673738113,0.445438283,0.503538928,0.342943854,0.339534884
A15,3,control,A,acacia,1.926,0.894,0.175713895,0.114351497,23.96156745,0.220045215,5.041,0.229972628,2.82,0.024775281,0.005022472,0.010820225,0.015842697,0.358732986,0.188035408,7.861,0.317021277,0.329766537,0.362955032,0.428327645,0.303067485
A16,3,recovery,A,acacia,3.813,0.688,0.237555293,0.1457936,26.12682091,0.420736932,11.264,0.418191944,4.501,0.057106742,0.003865169,0.021421348,0.025286517,0.285505867,0.1771147,15.765,0.152854921,0.479117415,0.552727273,0.391304348,0.429032258
A17,3,recovery,A,acacia,3.002,0.855,0.250187516,0.111516891,35.2462077,0.416569428,8.685,0.394683027,3.857,0.042348315,0.004803371,0.016865169,0.021668539,0.30752671,0.177836809,12.542,0.221674877,0.44809983,0.491293532,0.398409894,0.357761492
A19,3,waterlogged,A,acacia,0.951,0.18,0.22162666,0.130151844,26.06878981,0.36433121,4.236,0.353736952,1.131,0.023967105,0.001184211,0.006256579,0.007440789,0.210732253,0.243389831,5.367,0.159151194,0.420547945,0.488853503,0.41108545,0.333333333
A20,3,control,A,acacia,4.017,2.096,0.335673101,0.121676535,29.85172798,0.389074693,8.563,0.374568042,6.113,0.04305618,0.011775281,0.022567416,0.034342697,0.41653039,0.247987118,14.676,0.342875838,0.456431535,0.542406312,0.75,0.463314097
A21,3,control,A,acacia,5.575,1.966,0.269115659,0.125302741,26.40191388,0.437001595,14.246,0.386594301,7.541,0.075157303,0.011044944,0.031320225,0.042365169,0.346123835,0.178515557,21.787,0.260708129,0.50296359,0.564638783,0.360045147,0.503337784
A22,3,control,A,acacia,2.649,0.712,0.208517003,0.114029468,27.6427305,0.319148936,6.118,0.305838832,3.361,0.030438202,0.004,0.014882022,0.018882022,0.354573267,0.228105712,9.479,0.211841714,0.358271865,0.402366864,0.370558376,0.342943854
A23,3,recovery,A,acacia,3.242,0.709,0.201943441,0.14300121,28.7635468,0.371921182,7.636,0.390149193,3.951,0.039123596,0.003983146,0.018213483,0.022196629,0.340985587,0.198118139,11.587,0.179448241,0.442054958,0.491367862,0.305220884,0.428327645
A24,3,waterlogged,A,acacia,0.519,0.128,0.193873739,0.131147541,22.66242038,0.26433121,2.381,0.273426734,0.647,0.012572368,0.000842105,0.003414474,0.004256579,0.213672391,0.17575444,3.028,0.197836167,0.409259259,0.473233405,0.335358445,0.391304348
A25,4,recovery,E,acacia,4.069,0.885,0.198391029,0.12045733,26.78257042,0.704225352,12.395,0.432589956,4.954,0.062067416,0.00497191,0.022859551,0.027831461,0.285549599,0.167164631,17.349,0.17864352,0.312571429,0.367607527,0.37413925,0.398409894
A26,4,control,E,acacia,2.507,1.801,0.26942504,0.21453246,24.38615023,0.429577465,6.829,0.397543369,4.308,0.034848315,0.010117978,0.01408427,0.024202247,0.386818712,0.184278758,11.137,0.418059424,0.455341506,0.530612245,0.339477727,0.41108545
A27,4,waterlogged,E,acacia,0.112,0.042,0.279301746,0.190909091,19.92156863,0.232843137,0.548,0.301098901,0.154,0.002657895,0.000276316,0.000736842,0.001013158,0.219373219,0.270440074,0.702,0.272727273,0.418803419,0.532608696,0.526283988,0.75
A28,4,recovery,E,acacia,2.497,1.611,0.227372063,0.133915212,30.49837134,0.433224756,7.827,0.405565055,4.108,0.03991573,0.009050562,0.01402809,0.023078652,0.344197738,0.207430589,11.935,0.392161636,0.457372116,0.504424779,0.299337748,0.360045147
